path,user_prompt,chatGPT_eval
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-220/2972,"topic 1: beyoncé, brown, video, love, wrote, world, performance, noted, dance, magazine
topic 2: highway, route, road, state, east, north, south, west, miles, terminus
topic 3: series, released, manga, anime, halo, volume, japanese, volumes, published, characters
topic 4: species, found, genus, specimens, known, described, long, fossil, large, fossils
topic 5: tropical, typhoon, storm, cyclone, system, depression, moved, northwest, august, formed
topic 6: birds, species, bird, breeding, male, nest, eggs, black, range, males
topic 7: west, song, hop, hip, album, rap, track, music, jay-z, video
topic 8: station, line, railway, services, trains, service, platform, london, stations, opened
topic 9: ship, war, destroyer, transferred, april, assigned, german, march, ships, june
topic 10: century, early, new, world, time, number, major, years, known, including
topic 11: british, men, fort, general, militia, american, troops, howe, forces, force
topic 12: game, released, key, story, characters, version, japan, japanese, tales, release
topic 13: aircraft, air, flight, wing, engine, production, design, speed, service, engines
topic 14: chess, game, fischer, player, black, white, match, players, games, play
topic 15: women, gay, men, sex, woman, sexual, female, male, gender, rights
topic 16: lewis, lee, moore, harry, banks, wolf, eddie, time, trouble, heart
topic 17: ride, coaster, train, roller, park, riders, track, feet, trains, station
topic 18: race, horse, won, racing, year, races, roberts, win, horses, old
topic 19: clark, comic, batman, comics, adams, strip, character, series, book, max
topic 20: texas, florida, taylor, louisiana, new_orleans, houston, mississippi, alabama, mobile, galveston",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-240/2972,"topic 1: art, painting, work, artists, artist, paintings, works, painted, portrait, figures
topic 2: arab, egypt, muslim, mosque, muhammad, islamic, muslims, syria, egyptian, jewish
topic 3: cap, species, fruit, brown, stem, fungus, bodies, spores, white, surface
topic 4: road, route, north, east, state, highway, intersection, areas, continues, heads
topic 5: women, gay, men, woman, sex, sexual, female, children, male, gender
topic 6: film, production, script, scene, filming, cast, release, role, scenes, movie
topic 7: team, national, world, medal, women, won, played, summer, silver, championships
topic 8: years, later, life, time, year, born, family, early, career, school
topic 9: wilson, grey, tracy, anatomy, alex, stevens, meredith, owen, george, watson
topic 10: school, students, education, schools, university, college, student, year, campus, years
topic 11: hurricane, storm, tropical, september, winds, mph, season, damage, august, depression
topic 12: medical, hospital, health, treatment, patients, use, cancer, care, patient, disease
topic 13: mountain, ice, volcano, summit, volcanic, lava, years, activity, eruption, mount
topic 14: world, record, gold, time, meter, won, championships, medal, olympic, freestyle
topic 15: species, fish, males, eggs, females, water, found, male, female, populations
topic 16: play, theatre, dance, musical, production, stage, broadway, music, performances, plays
topic 17: song, songs, music, recorded, blues, recording, jazz, album, morrison, country
topic 18: episode, series, season, million, viewers, scene, written, television, episodes, broadcast
topic 19: jack, liz, tracy, nbc, rock, episode, fey, jenna, kenneth, comedy
topic 20: australia, australian, miller, new_zealand, victoria, sydney, new_south_wales, melbourne, queensland, adelaide",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-260/2972,"topic 1: australia, australian, team, new_zealand, sydney, national, world, melbourne, played, victoria
topic 2: episode, mulder, scully, series, files, television, season, agents, called, later
topic 3: game, cards, card, player, players, board, games, magic, rules, total
topic 4: game, nintendo, games, mario, series, released, player, super, japan, best
topic 5: class, locomotives, locomotive, railway, steam, railways, built, gauge, train, passenger
topic 6: tropical, storm, depression, hurricane, system, convection, low, utc, mph, september
topic 7: ride, coaster, roller, train, park, riders, track, feet, trains, hill
topic 8: madonna, like, video, album, girl, song, singer, dance, performance, tour
topic 9: squadron, wing, raaf, training, air, flying, squadrons, aircraft, unit, war
topic 10: ship, guns, gun, inch, inches, iron, long, feet, ships, tons
topic 11: japanese, chinese, china, japan, korean, asian, hong_kong, south_korea, korea, tokyo
topic 12: episode, peter, fringe, olivia, walter, fox, universe, season, series, parallel
topic 13: film, films, cinema, hollywood, director, production, movies, directed, cult, movie
topic 14: liquid, chemical, phase, crystal, metal, metals, group, elements, crystals, molecules
topic 15: race, oxford, cambridge, boat, blues, crew, time, won, crews, lengths
topic 16: line, train, service, rail, trains, system, lines, stations, speed, cars
topic 17: dragon, world, game, magic, character, role, characters, monsters, player, playing
topic 18: australia, test, innings, miller, match, runs, england, second, took, tour
topic 19: units, system, names, unit, metric, mass, kilogram, use, measure, defined
topic 20: route, highway, state, road, east, north, terminus, south, traffic, system",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-280/2972,"topic 1: match, runs, cricket, england, test, scored, wickets, matches, team, season
topic 2: game, magic, dragon, player, players, cards, playing, role, monsters, world
topic 3: park, area, land, site, festival, opened, visitors, located, year, acres
topic 4: war, world, american, united_states, military, navy, medal, training, honor, naval
topic 5: race, won, racing, year, races, season, win, track, second, running
topic 6: highway, interchange, freeway, road, north, south, avenue, construction, street, lanes
topic 7: man, halo, lucas, mega, series, robot, avatar, cobra, master, doom
topic 8: battle, army, troops, men, cavalry, attack, force, infantry, left, forces
topic 9: tournament, open, match, won, murray, final, world, chess, round, fischer
topic 10: battalion, japanese, war, following, australian, time, australia, training, brigade, personnel
topic 11: game, nintendo, games, mario, series, released, player, japan, super, best
topic 12: lap, race, second, lead, laps, position, edwards, later, pit, points
topic 13: police, murder, death, said, found, case, body, evidence, told, victims
topic 14: team, season, basketball, big, points, game, high, michigan, year, conference
topic 15: beatles, morrison, group, harry, later, liverpool, harrison, hamburg, weeks, best
topic 16: album, music, sound, songs, track, record, lyrics, recording, albums, tracks
topic 17: age, new, roosevelt, jane, eleanor, bennett, morris, tradition, group, anderson
topic 18: bach, movement, movements, music, text, major, bass, work, composed, second
topic 19: guitar, game, hero, songs, games, players, series, band, music, song
topic 20: film, million, highest, grossing, released, weekend, opening, release, box, worldwide",0
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-300/2972,"topic 1: class, locomotives, locomotive, steam, railway, railways, gauge, engine, engines, evans
topic 2: ship, ships, navy, crew, naval, captain, port, sea, vessel, arrived
topic 3: series, television, bbc, episodes, episode, broadcast, programme, production, filming, pilot
topic 4: island, islands, sea, allen, mainland, coast, century, west, small, south
topic 5: bridge, construction, bridges, pier, built, traffic, feet, river, ferry, new
topic 6: story, cole, max, series, lynch, adventure, book, character, adventures, sam
topic 7: inch, guns, inches, armour, feet, class, fire, ships, gun, turret
topic 8: century, known, according, early, modern, text, later, found, history, written
topic 9: match, event, impact, joe, team, episode, angle, styles, championship, abyss
topic 10: hardy, moore, anderson, championship, title, world, tournament, champion, team, defeated
topic 11: film, films, production, director, released, directed, release, movie, shot, scenes
topic 12: california, state, utah, arizona, route, san_diego, trail, nevada, san_francisco, near
topic 13: fight, round, boxing, hughes, champion, title, fighting, decision, bout, won
topic 14: film, disney, animated, animation, story, characters, studio, released, release, production
topic 15: open, final, murray, won, tournament, round, match, world, lost, sets
topic 16: church, century, north, south, chancel, west, 19th, building, nave, medieval
topic 17: spears, britney, baby, circus, pop, time, video, music, dance, toxic
topic 18: episode, gave, number, song, rachel, said, called, glee, wrote, kurt
topic 19: school, education, students, schools, children, year, student, years, teacher, educational
topic 20: police, said, murder, homicide, detective, series, monk, case, life, killer",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-320/2972,"topic 1: film, films, horror, director, cult, released, cinema, directed, festival, produced
topic 2: spears, britney, baby, circus, time, dance, video, pop, toxic, music
topic 3: highway, state, north, michigan, runs, east, street, downtown, near, freeway
topic 4: storm, damage, hurricane, flooding, people, rainfall, winds, million, state, areas
topic 5: festival, club, events, people, held, hotel, entertainment, day, opened, year
topic 6: open, final, murray, won, tournament, round, match, world, lost, sets
topic 7: game, guitar, hero, songs, games, players, series, band, player, music
topic 8: film, million, released, release, opening, weekend, highest, grossing, movie, sequel
topic 9: episode, mulder, scully, files, series, season, x-files, man, television, later
topic 10: said, report, investigation, evidence, information, public, case, reported, stated, alleged
topic 11: harrison, beatles, song, album, world, pass, things, lord, track, guitar
topic 12: age, new, movement, anderson, group, tradition, religion, ritual, book, order
topic 13: game, xbox, version, released, playstation, players, games, release, content, new
topic 14: rock, metal, music, bands, band, genre, early, punk, psychedelic, folk
topic 15: class, locomotives, railway, locomotive, steam, railways, gauge, train, passenger, built
topic 16: tree, trees, thompson, wood, forest, riley, trunk, willow, branches, maple
topic 17: ride, coaster, roller, train, riders, track, park, feet, trains, hill
topic 18: political, social, movement, war, anti, new, world, government, public, society
topic 19: king, england, bishop, abbey, canterbury, archbishop, cathedral, death, william, robert
topic 20: state, governor, kentucky, indiana, legislature, elected, law, term, election, office",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-340/2972,"topic 1: series, manga, anime, released, japanese, volume, volumes, japan, english, published
topic 2: king, kingdom, royal, son, reign, death, kings, died, century, throne
topic 3: tropical, typhoon, storm, cyclone, system, depression, moved, formed, northwest, august
topic 4: route, highway, state, east, north, road, south, miles, west, iowa
topic 5: moore, sweet, gordon, door, escape, carol, baby, locked, wings, doubt
topic 6: war, medal, gun, enemy, military, honor, murphy, fire, awarded, wounded
topic 7: band, song, video, track, guitar, single, album, music, release, group
topic 8: hair, fashion, girl, dress, women, wearing, wear, wore, cover, doll
topic 9: shark, sharks, reef, water, species, great, fish, large, coral, jaws
topic 10: century, text, written, known, manuscript, according, scholars, later, found, modern
topic 11: game, series, released, nintendo, sonic, man, player, games, nes, mega
topic 12: regiment, brigade, turkish, squadron, men, attack, line, artillery, fire, day
topic 13: line, train, service, rail, trains, system, lines, cars, stations, station
topic 14: contest, song, final, competition, winner, countries, announced, country, semi, national
topic 15: church, century, chapel, cathedral, parish, north, nave, south, window, west
topic 16: olympics, seconds, heat, round, athletes, event, summer, beijing, august, participated
topic 17: president, bush, clinton, obama, presidential, white_house, administration, reagan, gore, united_states
topic 18: star, trek, voyager, series, character, wars, episode, original, crew, space
topic 19: chris, grace, rice, kane, kiss, mason, andrew, charlie, sunny, play
topic 20: colony, clarke, england, governor, charter, rhode_island, land, plymouth, dutch, english",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-360/2972,"topic 1: guest, comedy, night, grace, television, live, host, brien, nbc, sketch
topic 2: song, music, songs, video, single, version, lyrics, performed, track, written
topic 3: party, election, parties, political, elections, leader, seats, support, members, won
topic 4: guitar, hero, game, songs, band, series, music, players, song, games
topic 5: earth, space, alien, science, planet, fiction, aliens, human, life, creature
topic 6: norway, swedish, sweden, norwegian, denmark, danish, finland, finnish, stockholm, copenhagen
topic 7: doctor, episode, amy, series, time, rose, tardis, bbc, broadcast, story
topic 8: war, government, military, united_states, foreign, international, attacks, iraq, president, countries
topic 9: cathedral, chapel, bell, glass, window, church, windows, organ, tower, stained
topic 10: euro, coins, notes, currency, note, issued, value, coin, series, dollar
topic 11: film, million, released, release, movie, opening, weekend, highest, cast, grossing
topic 12: interchange, freeway, lane, lanes, road, north, construction, avenue, south, access
topic 13: key, hearts, vii, square, released, game, kingdom, enix, label, games
topic 14: open, murray, final, won, round, tournament, match, sets, world, lost
topic 15: police, government, said, protests, people, rights, protesters, protest, human, violence
topic 16: division, german, brigade, infantry, battalion, 1st, artillery, germans, 2nd, attack
topic 17: storm, tropical, rainfall, florida, inches, flooding, damage, texas, depression, louisiana
topic 18: species, males, found, females, male, female, eggs, habitat, yellow, range
topic 19: castle, guns, gun, artillery, fort, england, war, defences, invasion, built
topic 20: scene, scenes, shot, filming, production, effects, film, filmed, set, shots",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-380/2972,"topic 1: world, record, meter, time, won, gold, freestyle, championships, olympic, relay
topic 2: species, area, areas, found, include, habitat, plants, national, population, land
topic 3: aircraft, naval, navy, carrier, japanese, ship, carriers, air, war, american
topic 4: beyoncé, love, world, wrote, crazy, noted, magazine, performance, list, run
topic 5: ship, destroyer, war, convoy, assigned, german, transferred, ships, escort, april
topic 6: batman, marvel, comic, man, film, character, men, films, superhero, dark
topic 7: language, english, languages, word, words, speakers, spoken, use, meaning, written
topic 8: aircraft, fighter, pilot, flying, squadron, air, war, shot, flight, combat
topic 9: olympics, seconds, round, heat, athletes, event, summer, beijing, august, participated
topic 10: gill, stem, gills, cap, hyphae, shaped, thin, smooth, species, mushroom
topic 11: group, girls, single, perry, number, pop, beautiful, performed, girl, song
topic 12: smith, lee, walker, said, revelations, open, census, followed, immortal, june
topic 13: bennett, monster, poker, casino, gambling, event, fantasy, series, moon, table
topic 14: cyrus, breakout, ending, pop, week, party, hot, best, rock, song
topic 15: mosque, muhammad, muslim, muslims, islamic, islam, hair, religious, long, ali
topic 16: line, oslo, trains, nok, station, built, meters, long, norwegian, started
topic 17: campaign, president, presidential, bush, election, clinton, obama, republican, political, candidate
topic 18: new_york, new_york_city, american, new_jersey, united_states, manhattan, california, day, brooklyn, san_francisco
topic 19: episode, liz, jack, tracy, rock, fey, series, jenna, nbc, kenneth
topic 20: king, royal, prince, duke, palace, charles, pope, queen, throne, grand",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-400/2972,"topic 1: track, edwards, car, turn, field, run, series, february, start, speed
topic 2: tropical, cyclone, cyclones, hurricane, forecast, weather, wind, forecasts, model, names
topic 3: comedy, perry, parody, tyler, funny, humor, series, night, sketch, style
topic 4: episode, season, jake, series, finn, episodes, voiced, time, aired, king
topic 5: cards, card, poker, player, magic, players, total, game, hand, campaign
topic 6: episode, mulder, scully, series, files, agents, television, season, later, fox
topic 7: adam, stargate, episode, tom, ellen, rachel, atlantis, season, daniel, team
topic 8: train, service, trains, cars, system, line, car, metro, units, lines
topic 9: force, newton, motion, formula, field, surface, forces, theory, electric, mass
topic 10: arab, muslim, mosque, egypt, muhammad, muslims, syria, islamic, islam, egyptian
topic 11: japanese, chinese, china, japan, singapore, thompson, asian, hong_kong, tokyo, asia
topic 12: mall, simon, chris, george, mitchell, store, mason, stores, center, shopping
topic 13: creek, watershed, feet, miles, trout, percent, stream, mouth, pennsylvania, concentration
topic 14: album, band, recording, track, recorded, songs, released, group, guitar, studio
topic 15: scotland, castles, century, built, scottish, architecture, style, houses, buildings, building
topic 16: use, abortion, birth, control, breast, risk, tube, treatment, cancer, pregnancy
topic 17: episode, series, filming, filmed, scene, producers, scenes, lucas, broadcast, felt
topic 18: fish, species, water, populations, found, habitat, coral, sea, population, native
topic 19: spanish, spain, portuguese, portugal, mission, english, missions, san, french, later
topic 20: storm, people, hurricane, damage, million, flooding, mexico, damaged, landfall, rainfall",1
